STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,Year
3781099999,1988-02-01,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",44.1,6,37.8,6,982.5,6,999.9,0,999.9,0,42.4,6,52.4,999.9,45.0,*,42.3,*,0.16,E,999.9,0,1988
3781099999,1988-02-02,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",41.5,21,32.7,21,991.4,21,999.9,0,999.9,0,34.2,21,48.6,999.9,45.0,*,36.9,*,0.04,E,999.9,0,1988
3781099999,1988-02-03,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",42.3,23,38.1,23,999.2,23,999.9,0,999.9,0,27.5,23,38.9,999.9,47.5,*,37.2,*,0.04,E,999.9,0,1988
3781099999,1988-02-04,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",41.2,22,36.6,22,990.8,22,999.9,0,999.9,0,30.0,22,40.8,999.9,46.6,*,35.4,*,0.28,F,999.9,0,1988
3781099999,1988-02-05,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",40.3,24,35.8,24,994.5,24,999.9,0,999.9,0,15.5,24,29.1,999.9,44.8,*,36.1,*,0.12,E,999.9,0,1988
3781099999,1988-02-06,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",37.4,24,30.7,24,998.9,24,999.9,0,999.9,0,11.3,24,21.4,999.9,43.0,*,34.0,*,0.02,E,999.9,0,1988
3781099999,1988-02-07,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",37.4,24,31.3,24,1007.6,24,999.9,0,999.9,0,24.4,24,40.8,999.9,43.3,*,30.6,*,0.02,E,999.9,0,1988
3781099999,1988-02-08,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",37.6,24,29.1,24,1000.2,24,999.9,0,999.9,0,30.0,24,44.7,999.9,41.7,*,33.6,*,0.35,F,999.9,0,1988
3781099999,1988-02-09,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",40.9,23,33.3,23,992.4,23,999.9,0,999.9,0,38.8,23,54.4,999.9,48.6,*,34.7,*,0.2,F,999.9,0,1988
3781099999,1988-02-10,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",38.5,24,28.2,24,995.7,24,999.9,0,999.9,0,40.0,24,56.3,999.9,41.9,*,35.1,*,0.04,E,999.9,0,1988
3781099999,1988-02-11,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",37.5,23,30.2,23,1001.5,23,999.9,0,999.9,0,20.7,23,35.0,999.9,43.0,*,34.7,*,0.02,E,999.9,0,1988
3781099999,1988-02-12,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",36.1,24,28.4,24,1013.6,24,999.9,0,999.9,0,18.0,24,31.1,999.9,42.3,*,31.3,*,0.0,D,999.9,0,1988
3781099999,1988-02-13,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",40.6,24,38.0,24,1017.2,24,999.9,0,999.9,0,27.6,24,44.7,999.9,44.8,*,34.5,*,0.12,E,999.9,0,1988
3781099999,1988-02-14,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",46.1,24,38.5,24,1021.2,24,999.9,0,999.9,0,19.8,24,29.1,999.9,49.6,*,43.2,*,0.12,E,999.9,0,1988
3781099999,1988-02-15,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",45.9,23,37.4,23,1021.5,23,999.9,0,999.9,0,15.1,23,21.4,999.9,54.9,*,41.2,*,0.0,D,999.9,0,1988
3781099999,1988-02-16,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",40.5,24,33.1,24,1024.5,24,999.9,0,999.9,0,14.9,23,23.3,999.9,44.2,*,34.7,*,0.0,D,999.9,0,1988
3781099999,1988-02-17,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",38.5,24,32.2,24,1027.8,24,999.9,0,999.9,0,16.6,24,25.3,999.9,45.9,*,33.4,*,0.0,D,999.9,0,1988
3781099999,1988-02-18,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",41.8,23,36.0,23,1027.6,23,999.9,0,999.9,0,17.2,23,31.1,999.9,47.7,*,34.2,*,0.0,D,999.9,0,1988
3781099999,1988-02-19,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",45.5,22,38.6,22,1029.5,22,999.9,0,999.9,0,13.2,22,19.4,999.9,49.8,*,39.7,*,0.0,C,999.9,0,1988
