STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12140099999,2008-01-01,54.4,18.7,7.0,"GDANSK PORT PN., PL",33.4,8,32.3,8,1026.6,8,25.7,8,3.1,8,5.8,8,9.7,999.9,34.3,*,32.2,*,0.06,G,999.9,1000
12140099999,2008-01-02,54.4,18.7,7.0,"GDANSK PORT PN., PL",30.7,8,26.0,8,1033.4,8,32.4,8,10.2,8,15.8,8,21.4,999.9,33.1,*,27.3,*,0.0,G,0.4,1000
12140099999,2008-01-03,54.4,18.7,7.0,"GDANSK PORT PN., PL",22.2,8,15.9,8,1033.5,8,32.5,8,11.1,8,17.7,8,19.4,999.9,23.9,*,20.3,*,0.0,G,999.9,0
12140099999,2008-01-04,54.4,18.7,7.0,"GDANSK PORT PN., PL",20.6,8,14.1,8,1033.7,8,32.7,8,13.6,8,17.5,8,21.4,999.9,21.9,*,18.7, ,0.0,F,999.9,0
12140099999,2008-01-05,54.4,18.7,7.0,"GDANSK PORT PN., PL",19.3,8,10.8,8,1023.0,8,22.0,8,11.6,8,16.0,8,19.4,999.9,24.6,*,13.8, ,0.0,F,999.9,0
12140099999,2008-01-06,54.4,18.7,7.0,"GDANSK PORT PN., PL",28.3,8,24.4,8,1011.2,8,10.3,8,4.7,8,10.2,8,13.6,999.9,30.6,*,26.2,*,0.0,G,999.9,11000
12140099999,2008-01-07,54.4,18.7,7.0,"GDANSK PORT PN., PL",31.6,8,31.4,8,1013.0,8,12.1,8,1.8,8,7.8,8,13.6,999.9,34.3,*,26.8,*,0.15,G,2.8,111000
12140099999,2008-01-08,54.4,18.7,7.0,"GDANSK PORT PN., PL",37.9,8,35.3,8,1013.5,8,12.6,8,6.7,8,9.2,8,11.7,999.9,40.3,*,34.0,*,0.02,G,1.2,10000
12140099999,2008-01-09,54.4,18.7,7.0,"GDANSK PORT PN., PL",36.3,8,32.7,8,1016.5,8,15.6,8,5.5,8,10.2,8,13.6,999.9,39.6,*,34.5,*,0.02,G,999.9,0
12140099999,2008-01-10,54.4,18.7,7.0,"GDANSK PORT PN., PL",36.7,8,33.8,8,1014.4,8,13.5,8,5.1,8,10.2,8,13.6,23.3,38.7,*,34.2,*,0.02,G,999.9,10000
